date,tax_revenue,gdp,cpi,exports,imports
1947-01-01,36.86,243.164,21.7,18.394,7.519
1947-04-01,36.316,245.968,22.01,19.497,8.203
1947-07-01,36.264,249.585,22.49,19.433,7.663
1947-10-01,38.744,259.745,23.126666666666665,17.636,8.347
1948-01-01,38.952,265.742,23.616666666666664,16.917,9.624
1948-04-01,37.684,272.567,23.993333333333336,15.241,10.036
1948-07-01,36.74,279.196,24.396666666666665,15.405,10.456
1948-10-01,36.528,280.366,24.173333333333332,14.625,10.124
1949-01-01,34.424,275.034,23.94333333333333,16.082,9.604
1949-04-01,32.52,271.351,23.916666666666668,15.647,9.364
1949-07-01,32.324,272.889,23.71666666666667,14.115,8.936
1949-10-01,31.336,270.627,23.66,12.091,9.092
1950-01-01,35.864,280.828,23.58666666666667,11.704,9.501
1950-04-01,40.024,290.383,23.766666666666666,11.872,10.229
1950-07-01,46.116,308.153,24.203333333333333,12.293,13.033
1950-10-01,50.492,319.945,24.69333333333333,13.531,13.685
1951-01-01,57.628,336.0,25.69666666666667,15.043,14.866
1951-04-01,54.644,344.09,25.94666666666667,17.121,15.178
1951-07-01,54.028,351.385,25.933333333333334,18.052,14.31
1951-10-01,57.644,356.178,26.316666666666666,18.18,13.99
1952-01-01,57.484,359.82,26.416666666666668,18.679,14.958
1952-04-01,57.676,361.03,26.486666666666668,16.581,14.63
1952-07-01,58.076,367.701,26.666666666666668,15.246,15.25
1952-10-01,61.04,380.812,26.69666666666667,15.329,16.342
1953-01-01,62.704,387.98,26.62,15.128,15.795
1953-04-01,62.96,391.749,26.72,15.196,16.447
1953-07-01,62.0,391.171,26.843333333333334,15.755,16.307
1953-10-01,56.928,385.97,26.89,15.172,15.507
1954-01-01,53.236,385.345,26.953333333333333,14.424,14.78
1954-04-01,53.36,386.121,26.91,16.438,16.184
1954-07-01,54.012,390.996,26.84,15.878,15.304
1954-10-01,55.992,399.734,26.756666666666664,16.605,15.46
1955-01-01,59.228,413.073,26.793333333333333,17.273,16.169
1955-04-01,61.024,421.532,26.756666666666664,16.942,17.097
1955-07-01,62.492,430.221,26.776666666666667,18.145,17.421
1955-10-01,64.132,437.092,26.856666666666666,18.349,18.109
1956-01-01,63.936,439.746,26.86,19.365,18.925
1956-04-01,65.176,446.01,27.036666666666665,20.882,18.973
1956-07-01,64.956,451.191,27.316666666666666,21.822,19.253
1956-10-01,67.636,460.463,27.55,23.068,18.541
1957-01-01,68.528,469.779,27.776666666666667,24.919,20.1
1957-04-01,67.94,472.025,28.013333333333332,24.369,20.27
1957-07-01,67.792,479.49,28.263333333333335,23.759,19.762
1957-10-01,65.16,474.864,28.400000000000002,23.022,19.634
1958-01-01,61.632,467.54,28.736666666666668,20.534,19.455
1958-04-01,61.632,471.978,28.930000000000003,20.546,20.075
1958-07-01,64.8,485.841,28.913333333333338,20.595,19.739
1958-10-01,68.412,499.555,28.94333333333333,20.563,20.823
1959-01-01,70.632,510.33,28.993333333333336,21.915,21.396
1959-04-01,74.056,522.653,29.043333333333333,21.776,22.544
1959-07-01,72.152,525.034,29.19333333333333,24.079,22.868
1959-10-01,72.496,528.6,29.37,23.131,22.504
1960-01-01,77.184,542.648,29.396666666666665,26.145,23.288
1960-04-01,75.816,541.08,29.573333333333334,26.85,23.455
1960-07-01,75.24,545.604,29.59,27.561,22.879
1960-10-01,73.98,540.197,29.78,27.622,21.742
1961-01-01,73.82,545.018,29.84,27.56,21.658
1961-04-01,75.66,555.545,29.83,26.627,21.899
1961-07-01,77.316,567.664,29.94666666666667,27.779,23.326
1961-10-01,80.288,580.612,29.99,28.442,23.87
1962-01-01,80.136,594.013,30.106666666666666,28.325,24.314
1962-04-01,81.324,600.366,30.22,29.662,24.884
1962-07-01,83.648,609.027,30.30666666666667,29.593,25.111
1962-10-01,84.796,612.28,30.38,28.683,25.55
1963-01-01,85.448,621.672,30.47666666666667,29.161,25.185
1963-04-01,87.496,629.752,30.53333333333333,31.448,25.89
1963-07-01,88.356,644.444,30.72,31.215,26.704
1963-10-01,89.54,653.938,30.80333333333333,32.474,26.764
1964-01-01,87.56,669.822,30.930000000000003,34.192,26.978
1964-04-01,83.648,678.674,30.98,34.03,27.726
1964-07-01,85.964,692.031,31.05,35.375,28.429
1964-10-01,87.432,697.319,31.19333333333333,36.48,29.285
1965-01-01,93.352,717.79,31.290000000000003,32.969,28.457
1965-04-01,94.828,730.191,31.49,38.367,31.679
1965-07-01,92.916,749.323,31.583333333333332,37.551,32.03
1965-10-01,96.116,771.857,31.75,39.698,33.948
1966-01-01,98.692,795.734,32.04666666666666,39.356,34.99
1966-04-01,102.972,804.981,32.336666666666666,40.872,36.24
1966-07-01,104.296,819.638,32.61666666666667,40.857,38.171
1966-10-01,106.272,833.302,32.88333333333333,42.594,38.829
1967-01-01,105.788,844.17,32.96666666666667,43.886,39.432
1967-04-01,105.568,848.983,33.166666666666664,43.239,39.02
1967-07-01,108.372,865.233,33.5,42.845,39.543
1967-10-01,111.94,881.439,33.86666666666667,43.896,41.652
1968-01-01,118.228,909.387,34.199999999999996,45.452,44.399
1968-04-01,121.904,934.344,34.53333333333333,47.165,45.416
1968-07-01,132.152,950.825,35.0,49.891,48.24
1968-10-01,136.584,968.03,35.43333333333333,49.116,48.17
1969-01-01,143.02,993.337,35.86666666666667,44.042,43.804
1969-04-01,145.064,1009.02,36.43333333333333,53.775,52.671
1969-07-01,141.652,1029.956,36.93333333333333,53.596,52.365
1969-10-01,142.068,1038.147,37.5,56.275,53.126
1970-01-01,135.748,1051.2,38.1,57.031,53.517
1970-04-01,136.872,1067.375,38.63333333333333,60.411,55.204
1970-07-01,132.8,1086.059,39.03333333333333,60.519,56.431
1970-10-01,132.3,1088.608,39.6,60.873,57.888
1971-01-01,133.248,1135.156,39.93333333333333,63.221,58.651
1971-04-01,134.872,1156.271,40.300000000000004,62.894,63.296
1971-07-01,135.276,1177.675,40.699999999999996,65.717,65.482
1971-10-01,137.648,1190.297,41.0,60.019,61.939
1972-01-01,150.632,1230.609,41.333333333333336,68.639,72.173
1972-04-01,153.08,1266.369,41.6,67.152,71.409
1972-07-01,155.1,1290.566,41.93333333333333,71.453,74.09
1972-10-01,161.256,1328.904,42.36666666666667,76.129,79.19
1973-01-01,163.716,1377.49,43.03333333333333,83.959,85.36
1973-04-01,166.456,1413.887,43.93333333333334,91.923,89.468
1973-07-01,168.66,1433.838,44.800000000000004,97.576,91.139
1973-10-01,175.876,1476.289,45.93333333333334,107.62,98.669
1974-01-01,177.044,1491.209,47.29999999999999,116.709,110.315
1974-04-01,184.556,1530.056,48.56666666666666,126.668,129.382
1974-07-01,193.832,1560.026,49.93333333333334,126.638,133.61
1974-10-01,190.652,1599.679,51.46666666666667,136.585,136.552
1975-01-01,183.944,1616.116,52.56666666666666,141.369,124.888
1975-04-01,150.556,1651.853,53.199999999999996,136.827,115.245
1975-07-01,192.616,1709.82,54.26666666666667,134.098,122.055
1975-10-01,198.704,1761.831,55.26666666666667,142.531,128.73
1976-01-01,204.383,1820.487,55.9,143.588,138.938
1976-04-01,209.755,1852.332,56.4,146.621,147.116
1976-07-01,215.427,1886.558,57.300000000000004,151.775,155.848
1976-10-01,220.003,1934.273,58.13333333333333,156.076,162.68
1977-01-01,228.932,1988.648,59.199999999999996,155.354,176.433
1977-04-01,239.908,2055.909,60.23333333333333,161.906,183.042
1977-07-01,244.424,2118.473,61.06666666666666,162.325,182.904
1977-10-01,253.3,2164.27,61.96666666666667,157.809,187.391
1978-01-01,252.624,2202.76,63.03333333333333,164.601,203.282
1978-04-01,275.452,2331.633,64.46666666666667,186.215,208.84
1978-07-01,288.508,2395.053,65.96666666666667,191.302,215.062
1978-10-01,302.716,2476.949,67.5,205.415,221.815
1979-01-01,305.111,2526.61,69.2,211.669,229.828
1979-04-01,313.483,2591.247,71.39999999999999,220.908,243.097
1979-07-01,321.235,2667.565,73.7,234.277,257.306
1979-10-01,327.619,2723.883,76.03333333333335,253.664,280.466
1980-01-01,334.369,2789.842,79.03333333333333,268.508,304.311
1980-04-01,329.157,2797.352,81.7,277.389,292.6
1980-07-01,346.541,2856.483,83.23333333333333,284.673,279.202
1980-10-01,367.909,2985.557,85.56666666666666,292.517,299.2
1981-01-01,389.143,3124.206,87.93333333333334,305.467,319.726
1981-04-01,393.071,3162.532,89.76666666666667,308.455,321.963
1981-07-01,404.735,3260.609,92.26666666666667,302.339,309.9
1981-10-01,390.203,3280.818,93.76666666666667,304.695,319.445
1982-01-01,373.505,3274.302,94.60000000000001,293.202,309.478
1982-04-01,377.697,3331.972,95.96666666666665,294.729,299.115
1982-07-01,366.537,3366.322,97.63333333333333,279.634,309.282
1982-10-01,369.325,3402.561,97.93333333333334,265.274,294.861
1983-01-01,366.026,3473.413,98.0,270.703,295.251
1983-04-01,388.038,3578.848,99.13333333333333,272.514,317.949
1983-07-01,377.326,3689.179,100.10000000000001,278.181,343.381
1983-10-01,386.546,3794.706,101.10000000000001,286.587,357.972
1984-01-01,401.0,3908.054,102.53333333333335,292.975,387.978
1984-04-01,407.192,4009.601,103.5,302.2,406.501
1984-07-01,409.792,4084.25,104.39999999999999,305.744,409.591
1984-10-01,420.74,4148.551,105.3,308.603,416.359
1985-01-01,458.534,4230.168,106.26666666666667,306.01,397.308
1985-04-01,411.414,4294.887,107.23333333333333,304.126,418.571
1985-07-01,449.822,4386.773,107.89999999999999,297.273,414.168
1985-10-01,451.882,4444.094,109.0,305.433,438.867
1986-01-01,450.793,4507.894,109.56666666666666,313.404,439.418
1986-04-01,452.337,4545.34,109.03333333333335,315.119,443.99
1986-07-01,462.097,4607.669,109.7,320.471,459.432
1986-10-01,482.909,4657.627,110.46666666666665,334.999,468.628
1987-01-01,480.364,4722.156,111.8,336.451,477.685
1987-04-01,545.316,4806.16,113.06666666666666,355.36,502.337
1987-07-01,534.536,4884.555,114.26666666666667,371.854,517.318
1987-10-01,545.447,5007.994,115.33333333333333,392.107,537.511
1988-01-01,538.868,5073.372,116.23333333333333,418.727,542.714
1988-04-01,542.697,5190.036,117.56666666666666,439.471,546.098
1988-07-01,552.924,5282.835,119.0,453.586,552.849
1988-10-01,564.743,5399.509,120.3,466.619,574.314
1989-01-01,598.209,5511.253,121.66666666666667,485.189,586.154
1989-04-01,594.565,5612.463,123.63333333333333,507.229,595.389
1989-07-01,601.42,5695.365,124.60000000000001,509.352,584.427
1989-10-01,610.382,5747.237,125.86666666666667,515.387,598.152
1990-01-01,607.186,5872.701,128.03333333333333,538.232,626.767
1990-04-01,620.34,5960.028,129.29999999999998,545.925,614.759
1990-07-01,628.133,6015.116,131.53333333333333,555.149,630.102
1990-10-01,626.593,6004.733,133.76666666666665,568.186,647.282
1991-01-01,613.433,6035.178,134.76666666666668,573.177,620.317
1991-04-01,612.927,6126.862,135.56666666666666,590.733,613.921
1991-07-01,616.693,6205.937,136.6,600.595,621.669
1991-10-01,625.41,6264.54,137.73333333333332,615.217,638.27
1992-01-01,627.451,6363.102,138.66666666666666,625.287,645.823
1992-04-01,637.932,6470.763,139.73333333333332,626.163,658.951
1992-07-01,642.804,6566.641,140.79999999999998,639.365,677.853
1992-10-01,673.51,6680.803,142.03333333333333,641.396,688.536
1993-01-01,656.938,6729.459,143.0666666666667,643.606,699.31
1993-04-01,694.565,6808.939,144.1,653.094,716.281
1993-07-01,699.151,6882.098,144.76666666666668,650.897,719.251
1993-10-01,746.417,7013.738,145.96666666666667,671.6,745.049
1994-01-01,727.521,7115.652,146.70000000000002,681.232,761.827
1994-04-01,767.039,7246.931,147.53333333333333,706.988,797.56
1994-07-01,770.302,7331.075,148.9,736.883,833.751
1994-10-01,788.991,7455.288,149.76666666666668,758.646,860.559
1995-01-01,803.103,7522.289,150.86666666666667,781.57,886.899
1995-04-01,826.947,7580.997,152.1,798.851,908.343
1995-07-01,830.271,7683.125,152.86666666666667,831.399,905.843
1995-10-01,842.468,7772.586,153.70000000000002,839.421,909.201
1996-01-01,875.999,7868.468,155.06666666666666,847.94,936.735
1996-04-01,921.58,8032.84,156.4,859.042,952.751
1996-07-01,923.88,8131.408,157.29999999999998,859.577,973.757
1996-10-01,946.372,8259.771,158.66666666666666,903.798,992.62
1997-01-01,978.033,8362.655,159.63333333333333,918.374,1027.213
1997-04-01,1004.394,8518.825,160.0,954.45,1039.651
1997-07-01,1032.495,8662.823,160.79999999999998,974.057,1070.888
1997-10-01,1045.441,8765.907,161.66666666666666,968.33,1085.344
1998-01-01,1063.588,8866.48,162.0,963.021,1098.236
1998-04-01,1081.512,8969.699,162.53333333333333,947.295,1109.626
1998-07-01,1108.773,9121.097,163.36666666666667,935.263,1109.897
1998-10-01,1127.159,9293.991,164.13333333333333,966.337,1145.0
1999-01-01,1142.659,9411.682,164.73333333333332,960.764,1173.324
1999-04-01,1158.005,9526.21,165.96666666666667,974.597,1222.126
1999-07-01,1182.148,9686.626,167.20000000000002,1005.309,1281.712
1999-10-01,1215.337,9900.169,168.43333333333334,1030.971,1332.679
2000-01-01,1272.073,10002.179,170.1,1052.904,1409.487
2000-04-01,1284.187,10247.72,171.4333333333333,1093.36,1455.86
2000-07-01,1291.65,10318.165,173.0,1125.002,1518.869
2000-10-01,1306.215,10435.744,174.23333333333335,1113.177,1524.52
2001-01-01,1301.0,10470.231,175.9,1096.812,1499.464
2001-04-01,1291.202,10599.0,177.13333333333333,1058.013,1422.028
2001-07-01,1104.283,10598.02,177.63333333333333,998.902,1369.536
2001-10-01,1210.806,10660.465,177.5,953.52,1323.208
2002-01-01,1055.567,10783.5,178.0666666666667,969.157,1356.041
2002-04-01,1051.808,10887.46,179.46666666666667,1004.154,1432.413
2002-07-01,1047.885,10984.04,180.4333333333333,1015.56,1463.107
2002-10-01,1057.477,11061.433,181.5,1003.046,1499.335
2003-01-01,1062.924,11174.129,183.36666666666667,1004.201,1529.463
2003-04-01,1074.61,11312.766,183.0666666666667,1007.465,1527.336
2003-07-01,994.708,11566.669,184.4333333333333,1037.31,1556.304
2003-10-01,1083.214,11772.234,185.13333333333333,1091.682,1615.376
2004-01-01,1086.156,11923.447,186.70000000000002,1133.669,1699.644
2004-04-01,1122.2,12112.815,188.16666666666666,1170.152,1787.734
2004-07-01,1165.545,12305.307,189.36666666666667,1180.185,1832.856
2004-10-01,1188.485,12527.214,191.4,1221.444,1921.78
2005-01-01,1326.264,12767.286,192.36666666666667,1258.408,1955.063
2005-04-01,1343.299,12922.656,193.66666666666666,1294.853,2002.063
2005-07-01,1374.911,13142.642,196.6,1302.315,2053.275
2005-10-01,1426.819,13324.204,198.4333333333333,1350.743,2155.529
2006-01-01,1492.519,13599.16,199.46666666666667,1413.966,2204.784
2006-04-01,1518.932,13753.424,201.26666666666665,1459.767,2253.809
2006-07-01,1557.724,13870.188,203.16666666666666,1475.417,2298.702
2006-10-01,1569.927,14039.56,202.33333333333334,1531.531,2269.198
2007-01-01,1606.513,14215.651,204.317,1577.991,2317.264
2007-04-01,1619.091,14402.082,206.631,1622.764,2368.569
2007-07-01,1602.248,14564.117,207.939,1685.71,2414.664
2007-10-01,1602.775,14715.058,210.4896666666667,1750.714,2480.413
2008-01-01,1551.383,14706.538,212.76966666666667,1813.321,2584.568
2008-04-01,1528.239,14865.701,215.5376666666667,1905.282,2681.686
2008-07-01,1494.271,14898.999,218.861,1922.215,2709.569
2008-10-01,1384.171,14608.209,213.84866666666667,1700.304,2328.779
2009-01-01,1144.195,14430.902,212.37766666666667,1511.768,1932.761
2009-04-01,1102.464,14381.236,213.50699999999998,1521.093,1879.461
2009-07-01,1104.113,14448.882,215.34399999999997,1594.725,2018.722
2009-10-01,1143.889,14651.249,217.03,1703.508,2176.763
2010-01-01,1213.369,14764.61,217.37400000000002,1759.877,2269.069
2010-04-01,1257.379,14980.193,217.29733333333334,1819.741,2362.255
2010-07-01,1297.148,15141.607,217.93433333333334,1877.253,2431.195
2010-10-01,1326.495,15309.474,219.69899999999998,1972.116,2495.702
2011-01-01,1458.521,15351.448,222.04366666666667,2040.407,2608.884
2011-04-01,1476.191,15557.539,224.56833333333336,2116.132,2697.224
2011-07-01,1471.733,15647.68,226.03266666666664,2156.793,2723.903
2011-10-01,1507.169,15842.259,227.04733333333334,2150.123,2751.911
2012-01-01,1529.118,16068.805,228.32600000000002,2189.981,2792.253
2012-04-01,1556.654,16207.115,228.808,2215.586,2780.827
2012-07-01,1575.77,16319.541,229.841,2227.734,2750.817
2012-10-01,1630.259,16420.419,231.36933333333332,2237.498,2753.373
2013-01-01,1710.991,16648.189,232.29933333333335,2255.929,2755.277
2013-04-01,1730.865,16728.687,232.045,2261.403,2759.783
2013-07-01,1753.758,16953.838,233.29999999999998,2285.116,2767.183
2013-10-01,1783.928,17192.019,234.1626666666667,2349.24,2783.259
2014-01-01,1865.024,17197.738,235.621,2343.602,2853.69
2014-04-01,1903.372,17518.508,236.87233333333333,2395.168,2900.572
2014-07-01,1900.394,17804.228,237.47833333333332,2399.191,2888.549
2014-10-01,1933.008,17912.079,236.88833333333332,2376.218,2906.969
2015-01-01,2017.75,18063.529,235.35500000000002,2299.045,2825.476
2015-04-01,2045.283,18279.784,236.96,2300.441,2809.968
2015-07-01,2026.616,18401.626,237.855,2260.724,2798.806
2015-10-01,2013.189,18435.137,237.837,2222.279,2745.517
2016-01-01,2001.701,18525.933,237.68933333333334,2181.957,2693.639
2016-04-01,2011.666,18711.702,239.59033333333332,2221.936,2711.306
2016-07-01,2036.51,18892.639,240.60733333333334,2270.0,2751.229
2016-10-01,2034.647,19089.379,242.13466666666667,2268.339,2799.145
2017-01-01,1943.31,19280.084,243.83866666666665,2339.728,2873.148
2017-04-01,1982.371,19438.643,244.12,2349.681,2903.18
2017-07-01,2021.546,19692.595,245.287,2384.524,2916.022
2017-10-01,2051.989,20037.088,247.23833333333334,2479.107,3034.004
2018-01-01,1987.756,20328.553,249.3216666666667,2517.268,3093.299
2018-04-01,2017.635,20580.912,250.679,2562.172,3105.995
2018-07-01,2039.255,20798.73,251.68633333333332,2535.501,3153.747
2018-10-01,2069.109,20917.867,252.711,2537.415,3171.622
2019-01-01,2079.842,21111.6,253.38566666666665,2540.244,3132.539
2019-04-01,2088.037,21397.938,255.24733333333333,2547.448,3165.41
2019-07-01,2110.233,21717.171,256.08933333333334,2532.405,3117.952
2019-10-01,2173.772,21933.217,257.888,2537.466,3050.824
2020-01-01,2159.532,21751.238,258.81766666666664,2430.941,2932.536
2020-04-01,1977.89,19958.291,256.292,1829.691,2356.583
2020-07-01,2170.988,21704.437,259.22166666666664,2116.753,2804.369
2020-10-01,2288.481,22087.16,261.0916666666667,2277.965,3036.076
2021-01-01,2465.136,22680.693,263.6863333333333,2393.033,3182.082
2021-04-01,2644.988,23425.91,268.5796666666667,2522.815,3348.435
2021-07-01,2740.565,23982.379,272.8863333333333,2581.341,3454.82
2021-10-01,2849.597,24813.6,278.71933333333334,2777.597,3686.382
2022-01-01,3222.172,25250.347,284.8446666666666,2865.226,3914.397
2022-04-01,3271.182,25861.292,291.651,3093.734,4089.904
2022-07-01,3277.537,26336.304,295.50766666666664,3129.075,3984.675
2022-10-01,3240.805,26770.514,298.49833333333333,3057.684,3908.3
2023-01-01,2900.169,27216.445,301.19166666666666,3085.516,3880.433
2023-04-01,2891.709,27530.055,303.4243333333333,3016.211,3813.697
2023-07-01,2921.203,28074.846,306.0423333333333,3082.082,3847.616
2023-10-01,2959.161,28424.722,308.15833333333336,3109.632,3897.676
2024-01-01,3033.756,28708.161,310.97433333333333,3164.101,3986.579
2024-04-01,3098.577,29147.044,313.09566666666666,3192.632,4087.002
2024-07-01,3141.087,29511.664,314.18266666666665,3256.486,4194.811
2024-10-01,3202.119,29825.182,316.53866666666664,3248.255,4186.921
2025-01-01,3246.051,30042.113,319.492,3293.661,4558.265
2025-04-01,3462.724,30485.729,320.80033333333336,3267.506,4167.305
